PRFA01000001	48565	37711	-	1_48565_37711
PRFA01000002	761949	751243	-	3_761949_751243
PRFA01000003	21000	10173	-	4_21000_10173
PRFA01000003	315248	304401	-	6_315248_304401
PRFA01000006	24080	13260	-	11_24080_13260
PRFA01000010	10993	167	-	13_10993_167
PRFA01000024	86338	75685	-	20_86338_75685
PRFA01000025	145913	135110	-	21_145913_135110
PRFA01000025	164611	153907	-	22_164611_153907
PRFA01000025	458793	447975	-	23_458793_447975
PRFA01000028	65866	55148	-	24_65866_55148
PRFA01000029	240110	229328	-	25_240110_229328
PRFA01000033	206172	195477	-	27_206172_195477
PRFA01000035	58020	47200	-	28_58020_47200
PRFA01000035	91301	80485	-	29_91301_80485
PRFA01000035	124544	113721	-	30_124544_113721
PRFA01000041	35873	25026	-	33_35873_25026
PRFA01000041	49638	38791	-	34_49638_38791
PRFA01000055	32480	21707	-	38_32480_21707
PRFA01000056	48000	37553	-	39_48000_37553
PRFA01000058	10783	1	-	41_10783_1
PRFA01000060	37413	26584	-	42_37413_26584
PRFA01000064	205844	194999	-	44_205844_194999
PRFA01000066	106670	95827	-	45_106670_95827
PRFA01000075	41474	30632	-	52_41474_30632
PRFA01000082	119262	108396	-	57_119262_108396
PRFA01000088	99394	88784	-	62_99394_88784
PRFA01000091	33412	22572	-	64_33412_22572
PRFA01000091	86901	76607	-	65_86901_76607
PRFA01000100	89434	78586	-	71_89434_78586
PRFA01000135	50451	39635	-	80_50451_39635
PRFA01000151	14728	3818	-	81_14728_3818
PRFA01000158	30111	19292	-	83_30111_19292
PRFA01000173	39820	29354	-	87_39820_29354
PRFA01000177	55044	44184	-	89_55044_44184
PRFA01000211	17697	6590	-	95_17697_6590
PRFA01000225	21786	10762	-	98_21786_10762
PRFA01000226	41451	30738	-	99_41451_30738
PRFA01000247	35157	24447	-	100_35157_24447
PRFA01000262	16045	5228	-	103_16045_5228
PRFA01000272	23549	12720	-	105_23549_12720
PRFA01000020	272220	282667	+	127_272220_282667
PRFA01000020	299148	309684	+	128_299148_309684
PRFA01000021	466365	477053	+	130_466365_477053
PRFA01000026	369839	380615	+	131_369839_380615
PRFA01000026	398694	409538	+	132_398694_409538
PRFA01000029	387235	398071	+	136_387235_398071
PRFA01000029	419097	429911	+	137_419097_429911
PRFA01000033	63291	73902	+	138_63291_73902
PRFA01000033	340213	350996	+	139_340213_350996
PRFA01000033	392938	403586	+	140_392938_403586
PRFA01000034	356236	367020	+	141_356236_367020
PRFA01000036	64259	75079	+	148_64259_75079
PRFA01000051	270690	281436	+	155_270690_281436
PRFA01000064	106949	117795	+	158_106949_117795
PRFA01000066	28237	39083	+	161_28237_39083
PRFA01000072	111864	122710	+	167_111864_122710
PRFA01000073	109834	120695	+	170_109834_120695
PRFA01000073	131155	142023	+	171_131155_142023
PRFA01000077	12771	23726	+	173_12771_23726
PRFA01000077	47505	58463	+	175_47505_58463
PRFA01000078	112133	122969	+	176_112133_122969
PRFA01000098	56225	67055	+	187_56225_67055
PRFA01000098	87483	98331	+	188_87483_98331
PRFA01000100	2690	13522	+	190_2690_13522
PRFA01000108	11673	22519	+	193_11673_22519
PRFA01000108	74972	85834	+	194_74972_85834
PRFA01000110	23432	34384	+	196_23432_34384
PRFA01000116	81831	92695	+	198_81831_92695
PRFA01000128	72831	83638	+	203_72831_83638
PRFA01000129	49166	60125	+	205_49166_60125
PRFA01000155	1753	12498	+	215_1753_12498
PRFA01000164	17112	27975	+	218_17112_27975
PRFA01000166	29651	40405	+	220_29651_40405
PRFA01000182	25029	35991	+	226_25029_35991
PRFA01000182	42996	53925	+	227_42996_53925
PRFA01000232	8656	19499	+	236_8656_19499
PRFA01000288	21521	32179	+	250_21521_32179
PRFA01000353	588	11455	+	253_588_11455
PRFA01000362	48	10703	+	255_48_10703
PRFA01000409	3804	14654	+	258_3804_14654
PRFA01000414	4188	15025	+	259_4188_15025
