PRFA01000001	48565	37711	-	1_48565_37711
PRFA01000001	56685	55166	-	2_56685_55166
PRFA01000002	761949	751243	-	3_761949_751243
PRFA01000003	21000	10173	-	4_21000_10173
PRFA01000003	26091	25733	-	5_26091_25733
PRFA01000003	315248	304401	-	6_315248_304401
PRFA01000003	344605	333775	-	7_344605_333775
PRFA01000003	652543	641720	-	8_652543_641720
PRFA01000003	1174042	1163245	-	9_1174042_1163245
PRFA01000004	851709	848057	-	10_851709_848057
PRFA01000006	24080	13260	-	11_24080_13260
PRFA01000009	181426	181367	-	12_181426_181367
PRFA01000010	10993	167	-	13_10993_167
PRFA01000010	20653	20295	-	14_20653_20295
PRFA01000010	57338	55637	-	15_57338_55637
PRFA01000012	364700	360221	-	16_364700_360221
PRFA01000015	333200	322406	-	17_333200_322406
PRFA01000015	401495	390671	-	18_401495_390671
PRFA01000017	40199	29599	-	19_40199_29599
PRFA01000024	86338	75685	-	20_86338_75685
PRFA01000025	145913	135110	-	21_145913_135110
PRFA01000025	164611	153907	-	22_164611_153907
PRFA01000025	458793	447975	-	23_458793_447975
PRFA01000028	65866	55148	-	24_65866_55148
PRFA01000029	240110	229328	-	25_240110_229328
PRFA01000032	415191	404345	-	26_415191_404345
PRFA01000033	206172	195477	-	27_206172_195477
PRFA01000035	58020	47200	-	28_58020_47200
PRFA01000035	91301	80485	-	29_91301_80485
PRFA01000035	124544	113721	-	30_124544_113721
PRFA01000037	4057	3887	-	31_4057_3887
PRFA01000038	42560	31719	-	32_42560_31719
PRFA01000041	35873	25026	-	33_35873_25026
PRFA01000041	49638	38791	-	34_49638_38791
PRFA01000047	38828	27992	-	35_38828_27992
PRFA01000049	25013	14254	-	36_25013_14254
PRFA01000049	66418	55659	-	37_66418_55659
PRFA01000055	32480	21707	-	38_32480_21707
PRFA01000056	48000	37553	-	39_48000_37553
PRFA01000056	61367	61071	-	40_61367_61071
PRFA01000058	10783	1	-	41_10783_1
PRFA01000060	37413	26584	-	42_37413_26584
PRFA01000064	41489	30642	-	43_41489_30642
PRFA01000064	205844	194999	-	44_205844_194999
PRFA01000066	106670	95827	-	45_106670_95827
PRFA01000068	80665	80104	-	46_80665_80104
PRFA01000068	116502	115942	-	47_116502_115942
PRFA01000068	161834	151014	-	48_161834_151014
PRFA01000071	46678	42940	-	49_46678_42940
PRFA01000074	145715	138393	-	50_145715_138393
PRFA01000075	2327	1	-	51_2327_1
PRFA01000075	41474	30632	-	52_41474_30632
PRFA01000075	73768	69825	-	53_73768_69825
PRFA01000082	66207	55235	-	54_66207_55235
PRFA01000082	84743	73787	-	55_84743_73787
PRFA01000082	102371	91424	-	56_102371_91424
PRFA01000082	119262	108396	-	57_119262_108396
PRFA01000082	136988	126035	-	58_136988_126035
PRFA01000086	54410	43691	-	59_54410_43691
PRFA01000086	76191	65472	-	60_76191_65472
PRFA01000088	78354	77173	-	61_78354_77173
PRFA01000088	99394	88784	-	62_99394_88784
PRFA01000090	57934	47090	-	63_57934_47090
PRFA01000091	33412	22572	-	64_33412_22572
PRFA01000091	86901	76607	-	65_86901_76607
PRFA01000094	13852	3095	-	66_13852_3095
PRFA01000094	50170	39431	-	67_50170_39431
PRFA01000094	79386	68641	-	68_79386_68641
PRFA01000096	119252	111560	-	69_119252_111560
PRFA01000099	117130	107953	-	70_117130_107953
PRFA01000100	89434	78586	-	71_89434_78586
PRFA01000106	21632	14049	-	72_21632_14049
PRFA01000117	46285	35454	-	73_46285_35454
PRFA01000120	78812	76916	-	74_78812_76916
PRFA01000130	22850	12007	-	75_22850_12007
PRFA01000131	22102	11266	-	76_22102_11266
PRFA01000131	27299	26839	-	77_27299_26839
PRFA01000131	65885	55055	-	78_65885_55055
PRFA01000131	85665	82896	-	79_85665_82896
PRFA01000135	50451	39635	-	80_50451_39635
PRFA01000151	14728	3818	-	81_14728_3818
PRFA01000152	47525	36887	-	82_47525_36887
PRFA01000158	30111	19292	-	83_30111_19292
PRFA01000167	5406	1	-	84_5406_1
PRFA01000167	10515	10157	-	85_10515_10157
PRFA01000167	59093	48263	-	86_59093_48263
PRFA01000173	39820	29354	-	87_39820_29354
PRFA01000177	38017	27172	-	88_38017_27172
PRFA01000177	55044	44184	-	89_55044_44184
PRFA01000178	8669	1	-	90_8669_1
PRFA01000178	26328	15181	-	91_26328_15181
PRFA01000178	44311	33169	-	92_44311_33169
PRFA01000194	24230	13376	-	93_24230_13376
PRFA01000198	36235	25407	-	94_36235_25407
PRFA01000211	17697	6590	-	95_17697_6590
PRFA01000219	43751	38680	-	96_43751_38680
PRFA01000220	18020	17698	-	97_18020_17698
PRFA01000225	21786	10762	-	98_21786_10762
PRFA01000226	41451	30738	-	99_41451_30738
PRFA01000247	35157	24447	-	100_35157_24447
PRFA01000254	7336	645	-	101_7336_645
PRFA01000256	22686	12066	-	102_22686_12066
PRFA01000262	16045	5228	-	103_16045_5228
PRFA01000265	34679	30218	-	104_34679_30218
PRFA01000272	23549	12720	-	105_23549_12720
PRFA01000274	1251	1	-	106_1251_1
PRFA01000274	33825	26661	-	107_33825_26661
PRFA01000280	16815	6041	-	108_16815_6041
PRFA01000308	22524	15210	-	109_22524_15210
PRFA01000309	2867	2509	-	110_2867_2509
PRFA01000384	23325	17485	-	111_23325_17485
PRFA01000387	1932	867	-	112_1932_867
PRFA01000402	18020	11330	-	113_18020_11330
PRFA01000457	11849	5155	-	114_11849_5155
PRFA01000459	2887	1494	-	115_2887_1494
PRFA01000003	110511	111788	+	116_110511_111788
PRFA01000004	926543	936957	+	117_926543_936957
PRFA01000005	187886	192035	+	118_187886_192035
PRFA01000005	581074	585211	+	119_581074_585211
PRFA01000009	388741	395042	+	120_388741_395042
PRFA01000011	386787	397630	+	121_386787_397630
PRFA01000011	509332	520174	+	122_509332_520174
PRFA01000012	320141	330979	+	123_320141_330979
PRFA01000015	547146	557996	+	124_547146_557996
PRFA01000016	492907	503735	+	125_492907_503735
PRFA01000016	538212	538772	+	126_538212_538772
PRFA01000020	272220	282667	+	127_272220_282667
PRFA01000020	299148	309684	+	128_299148_309684
PRFA01000021	429975	440714	+	129_429975_440714
PRFA01000021	466365	477053	+	130_466365_477053
PRFA01000026	369839	380615	+	131_369839_380615
PRFA01000026	398694	409538	+	132_398694_409538
PRFA01000027	412113	422998	+	133_412113_422998
PRFA01000027	427559	438444	+	134_427559_438444
PRFA01000027	443006	453850	+	135_443006_453850
PRFA01000029	387235	398071	+	136_387235_398071
PRFA01000029	419097	429911	+	137_419097_429911
PRFA01000033	63291	73902	+	138_63291_73902
PRFA01000033	340213	350996	+	139_340213_350996
PRFA01000033	392938	403586	+	140_392938_403586
PRFA01000034	356236	367020	+	141_356236_367020
PRFA01000034	403235	412400	+	142_403235_412400
PRFA01000035	215585	217321	+	143_215585_217321
PRFA01000035	219085	219349	+	144_219085_219349
PRFA01000035	220128	220640	+	145_220128_220640
PRFA01000035	221360	223910	+	146_221360_223910
PRFA01000035	224366	225312	+	147_224366_225312
PRFA01000036	64259	75079	+	148_64259_75079
PRFA01000036	208129	218949	+	149_208129_218949
PRFA01000036	298942	309751	+	150_298942_309751
PRFA01000038	390721	392112	+	151_390721_392112
PRFA01000038	396772	398163	+	152_396772_398163
PRFA01000038	402821	404211	+	153_402821_404211
PRFA01000039	224514	235361	+	154_224514_235361
PRFA01000051	270690	281436	+	155_270690_281436
PRFA01000053	29619	36299	+	156_29619_36299
PRFA01000059	217743	228588	+	157_217743_228588
